pairing,distance_nm,theta_deg,energy_per_area_J_m2,pressure_N_m2
dwave,20.0,0.0,-1.33605967452409e-07,-5.803820143264347
dwave,30.0,0.0,-7.556776601976552e-08,-4.607501365881301
dwave,50.0,0.0,-3.127048979746121e-08,-1.5792649749156236
dwave,80.0,0.0,-1.2494488178974129e-08,-0.3853810468540917
dwave,100.0,0.0,-7.993342892054225e-09,-0.18630369402703903
dwave,150.0,0.0,-3.5223544805717833e-09,-0.06072347737723256
dwave,200.0,0.0,-1.920995154330966e-09,-0.03202718652481635
dwave,20.0,15.0,-1.336057887433029e-07,-5.8038104615266395
dwave,30.0,15.0,-7.556768412803648e-08,-4.607493937714402
dwave,50.0,15.0,-3.1270466326237914e-08,-1.5792629863568122
dwave,80.0,15.0,-1.249448240352378e-08,-0.3853807228823112
dwave,100.0,15.0,-7.993340050875246e-09,-0.18630357748095594
dwave,150.0,15.0,-3.5223536957612936e-09,-0.06072345220862373
dwave,200.0,15.0,-1.9209948300128716e-09,-0.032027177314968444
dwave,20.0,30.0,-1.3360542404001364e-07,-5.803790732536553
dwave,30.0,30.0,-7.556751671464809e-08,-4.607478796853609
dwave,50.0,30.0,-3.127041820489362e-08,-1.5792589237992354
dwave,80.0,30.0,-1.2494470566898543e-08,-0.38538005804404984
dwave,100.0,30.0,-7.993334248983584e-09,-0.1863033378566316
dwave,150.0,30.0,-3.522352111041548e-09,-0.060723400698989606
dwave,200.0,30.0,-1.920994179084622e-09,-0.03202715863913851
dwave,20.0,45.0,-1.3360524049875283e-07,-5.803780795198444
dwave,30.0,45.0,-7.556743254676838e-08,-4.607471171546661
dwave,50.0,45.0,-3.127039406190646e-08,-1.5792568801521862
dwave,80.0,45.0,-1.2494464641431814e-08,-0.38537972447499746
dwave,100.0,45.0,-7.993331345809523e-09,-0.18630321786370949
dwave,150.0,45.0,-3.5223513172996842e-09,-0.060723374931919136
dwave,200.0,45.0,-1.920993852617607e-09,-0.032027149293641546
dwave,20.0,60.0,-1.3360542404001364e-07,-5.803790732536553
dwave,30.0,60.0,-7.556751671464809e-08,-4.607478796853609
dwave,50.0,60.0,-3.127041820489362e-08,-1.5792589237992354
dwave,80.0,60.0,-1.2494470566898545e-08,-0.38538005804404996
dwave,100.0,60.0,-7.993334248983584e-09,-0.18630333785663164
dwave,150.0,60.0,-3.5223521110415482e-09,-0.060723400698989606
dwave,200.0,60.0,-1.920994179084622e-09,-0.03202715863913853
dwave,20.0,75.0,-1.336057887433029e-07,-5.803810461526641
dwave,30.0,75.0,-7.556768412803647e-08,-4.607493937714403
dwave,50.0,75.0,-3.1270466326237914e-08,-1.5792629863568122
dwave,80.0,75.0,-1.249448240352378e-08,-0.3853807228823112
dwave,100.0,75.0,-7.993340050875246e-09,-0.18630357748095594
dwave,150.0,75.0,-3.5223536957612944e-09,-0.06072345220862372
dwave,200.0,75.0,-1.920994830012872e-09,-0.03202717731496845
dwave,20.0,90.0,-1.33605967452409e-07,-5.803820143264348
dwave,30.0,90.0,-7.55677660197655e-08,-4.607501365881302
dwave,50.0,90.0,-3.1270489797461206e-08,-1.5792649749156233
dwave,80.0,90.0,-1.2494488178974129e-08,-0.38538104685409147
dwave,100.0,90.0,-7.993342892054226e-09,-0.18630369402703897
dwave,150.0,90.0,-3.5223544805717833e-09,-0.06072347737723259
dwave,200.0,90.0,-1.9209951543309663e-09,-0.03202718652481634
normal,20.0,0.0,-1.3362508667424654e-07,-5.804846889195003
normal,30.0,0.0,-7.557661778229648e-08,-4.608292761424908
normal,50.0,0.0,-3.1272927664602106e-08,-1.5794844117016136
normal,80.0,0.0,-1.2494899551793464e-08,-0.3854176496814622
normal,100.0,0.0,-7.993434834770789e-09,-0.18631603745291866
normal,150.0,0.0,-3.5222827619017315e-09,-0.06072506627682038
normal,200.0,0.0,-1.92092820708875e-09,-0.03202709109625963
normal,20.0,15.0,-1.3362437864353328e-07,-5.804807960721123
normal,30.0,15.0,-7.557629903632203e-08,-4.608262949342307
normal,50.0,15.0,-3.127284050462846e-08,-1.5794765552757988
normal,80.0,15.0,-1.24948805552541e-08,-0.38541642053607006
normal,100.0,15.0,-7.993426514884817e-09,-0.18631561726427287
normal,150.0,15.0,-3.5222812459450787e-09,-0.06072498635427702
normal,200.0,15.0,-1.9209278794571126e-09,-0.03202706732975932
normal,20.0,30.0,-1.3362292821489026e-07,-5.804728173186689
normal,30.0,30.0,-7.557564648302334e-08,-4.608201863336405
normal,50.0,30.0,-3.127266161030649e-08,-1.579460490850098
normal,80.0,30.0,-1.2494840760162078e-08,-0.38541391013583837
normal,100.0,30.0,-7.99340857792054e-09,-0.18631475572178663
normal,150.0,30.0,-3.522277465617489e-09,-0.06072481831166921
normal,200.0,30.0,-1.920926746753617e-09,-0.03202701437727744
normal,20.0,45.0,-1.3362218434491585e-07,-5.8046873928538165
normal,30.0,45.0,-7.557531041637767e-08,-4.608170640658392
normal,50.0,45.0,-3.127256769102672e-08,-1.5794522728263662
normal,80.0,45.0,-1.2494818361088872e-08,-0.38541261155722095
normal,100.0,45.0,-7.993397678042772e-09,-0.18631430005425972
normal,150.0,45.0,-3.5222744375854354e-09,-0.060724722133847955
normal,200.0,45.0,-1.920925464657974e-09,-0.03202697945854923
normal,20.0,60.0,-1.3362292821489026e-07,-5.804728173186689
normal,30.0,60.0,-7.557564648302334e-08,-4.608201863336405
normal,50.0,60.0,-3.127266161030649e-08,-1.579460490850098
normal,80.0,60.0,-1.2494840760162078e-08,-0.3854139101358385
normal,100.0,60.0,-7.993408577920538e-09,-0.18631475572178666
normal,150.0,60.0,-3.5222774656174892e-09,-0.060724818311669204
normal,200.0,60.0,-1.9209267467536165e-09,-0.03202701437727746
normal,20.0,75.0,-1.3362437864353326e-07,-5.804807960721121
normal,30.0,75.0,-7.557629903632203e-08,-4.608262949342305
normal,50.0,75.0,-3.127284050462846e-08,-1.5794765552757988
normal,80.0,75.0,-1.2494880555254099e-08,-0.38541642053607006
normal,100.0,75.0,-7.993426514884817e-09,-0.18631561726427281
normal,150.0,75.0,-3.5222812459450787e-09,-0.06072498635427702
normal,200.0,75.0,-1.9209278794571126e-09,-0.03202706732975932
normal,20.0,90.0,-1.336250866742465e-07,-5.804846889194997
normal,30.0,90.0,-7.557661778229652e-08,-4.608292761424904
normal,50.0,90.0,-3.1272927664602106e-08,-1.5794844117016145
normal,80.0,90.0,-1.2494899551793466e-08,-0.3854176496814622
normal,100.0,90.0,-7.993434834770789e-09,-0.18631603745291875
normal,150.0,90.0,-3.522282761901731e-09,-0.06072506627682038
normal,200.0,90.0,-1.92092820708875e-09,-0.032027091096259626
spm,20.0,0.0,-1.3367468770164357e-07,-5.806580950119369
spm,30.0,0.0,-7.560887820044985e-08,-4.609694937738149
spm,50.0,0.0,-3.1290419940935644e-08,-1.5800376122797493
spm,80.0,0.0,-1.250413010386142e-08,-0.3856063109715194
spm,100.0,0.0,-8.000048554621544e-09,-0.186427991007482
spm,150.0,0.0,-3.5256598110614106e-09,-0.0607717426156584
spm,200.0,0.0,-1.9228742930557027e-09,-0.03205571036011416
spm,20.0,15.0,-1.3367396444722417e-07,-5.806542693754305
spm,30.0,15.0,-7.56085375096811e-08,-4.609665473493411
spm,50.0,15.0,-3.129031685024854e-08,-1.580029464401025
spm,80.0,15.0,-1.2504103503894938e-08,-0.3856048868594366
spm,100.0,15.0,-8.00003542918199e-09,-0.18642745439776467
spm,150.0,15.0,-3.5256563765290906e-09,-0.06077162440743418
spm,200.0,15.0,-1.9228729884385683e-09,-0.03205566776181045
spm,20.0,30.0,-1.336724792453985e-07,-5.806464096162974
spm,30.0,30.0,-7.560783828376874e-08,-4.609604960936972
spm,50.0,30.0,-3.129010447406928e-08,-1.5800127739161323
spm,80.0,30.0,-1.2504047502183156e-08,-0.38560197163939647
spm,100.0,30.0,-8.000007101708218e-09,-0.1864263503005344
spm,150.0,30.0,-3.5256483020830505e-09,-0.06077137485118767
spm,200.0,30.0,-1.92286961658945e-09,-0.03205557370987201
spm,20.0,45.0,-1.3367171923321201e-07,-5.806423804771821
spm,30.0,45.0,-7.560748118549378e-08,-4.609573955167889
spm,50.0,45.0,-3.128999606629331e-08,-1.580004253074193
spm,80.0,45.0,-1.2504018603929899e-08,-0.3856004891725459
spm,100.0,45.0,-7.999992281450999e-09,-0.18642578805116305
spm,150.0,45.0,-3.5256438879905798e-09,-0.06077124586736295
spm,200.0,45.0,-1.9228676947147023e-09,-0.03205552386551755
spm,20.0,60.0,-1.3367247924539852e-07,-5.806464096162974
spm,30.0,60.0,-7.560783828376876e-08,-4.609604960936973
spm,50.0,60.0,-3.129010447406928e-08,-1.580012773916133
spm,80.0,60.0,-1.250404750218316e-08,-0.3856019716393966
spm,100.0,60.0,-8.00000710170822e-09,-0.18642635030053453
spm,150.0,60.0,-3.5256483020830513e-09,-0.060771374851187686
spm,200.0,60.0,-1.92286961658945e-09,-0.032055573709872026
spm,20.0,75.0,-1.3367396444722417e-07,-5.806542693754305
spm,30.0,75.0,-7.56085375096811e-08,-4.609665473493412
spm,50.0,75.0,-3.1290316850248535e-08,-1.5800294644010253
spm,80.0,75.0,-1.2504103503894938e-08,-0.3856048868594365
spm,100.0,75.0,-8.00003542918199e-09,-0.18642745439776467
spm,150.0,75.0,-3.5256563765290898e-09,-0.06077162440743418
spm,200.0,75.0,-1.9228729884385683e-09,-0.03205566776181043
spm,20.0,90.0,-1.3367468770164357e-07,-5.806580950119369
spm,30.0,90.0,-7.560887820044985e-08,-4.609694937738149
spm,50.0,90.0,-3.129041994093565e-08,-1.580037612279749
spm,80.0,90.0,-1.2504130103861419e-08,-0.3856063109715194
spm,100.0,90.0,-8.000048554621544e-09,-0.18642799100748195
spm,150.0,90.0,-3.5256598110614106e-09,-0.0607717426156584
spm,200.0,90.0,-1.9228742930557023e-09,-0.03205571036011417
